schema_version,pass_id,source_image,source_image_sha256,image_width_pixels,image_height_pixels,sequence_index,landmark_id,category,description,pixel_x,pixel_y,model_x,model_y,registration_default
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,14,moon_centre_02,moon_centre,"Centre of Moon circle 02, ordered counter-clockwise from the top; model angle 154.088069 degrees.",969.905225,993.661224,-6.2962676110643772,3.058923694677866,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,15,moon_centre_03,moon_centre,"Centre of Moon circle 03, ordered counter-clockwise from the top; model angle 180.000000 degrees.",1198.157526,1220.587747,-7,0,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,16,moon_centre_04,moon_centre,"Centre of Moon circle 04, ordered counter-clockwise from the top; model angle 205.911931 degrees.",1249.831891,1439.464708,-6.2962676110643772,-3.0589236946778646,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,17,moon_centre_05,moon_centre,"Centre of Moon circle 05, ordered counter-clockwise from the top; model angle 244.088069 degrees.",1201.601662,1663.679735,-3.0589236946778664,-6.2962676110643763,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,18,moon_centre_06,moon_centre,"Centre of Moon circle 06, ordered counter-clockwise from the top; model angle 270.000000 degrees.",973.248907,1902.741697,0,-7,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,19,moon_centre_07,moon_centre,"Centre of Moon circle 07, ordered counter-clockwise from the top; model angle 295.911931 degrees.",756.017165,1954.391182,3.0589236946778642,-6.296267611064378,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,20,moon_centre_08,moon_centre,"Centre of Moon circle 08, ordered counter-clockwise from the top; model angle 334.088069 degrees.",542.567912,1907.320171,6.2962676110643763,-3.0589236946778668,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,21,moon_centre_09,moon_centre,"Centre of Moon circle 09, ordered counter-clockwise from the top; model angle 0.000000 degrees.",310.150285,1669.784809,7,0,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,22,moon_centre_10,moon_centre,"Centre of Moon circle 10, ordered counter-clockwise from the top; model angle 25.911931 degrees.",259.624243,1447.608654,6.2962676110643772,3.0589236946778655,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,23,moon_centre_11,moon_centre,"Centre of Moon circle 11, ordered counter-clockwise from the top; model angle 64.088069 degrees.",308.310814,1224.832159,3.0589236946778655,6.2962676110643772,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,24,star_endpoint_00_top,star_endpoint,Apparent upper heptagram endpoint.,751.712911,941.841053,,,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,25,star_endpoint_01_upper_left,star_endpoint,"Apparent upper-left heptagram endpoint, ordered counter-clockwise from the top.",1238.635340,1556.604230,,,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,26,star_endpoint_02_lower_left,star_endpoint,"Apparent lower-left side heptagram endpoint, ordered counter-clockwise from the top.",542.979670,1907.707919,,,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,27,star_endpoint_03_bottom_left,star_endpoint,"Apparent bottom-left heptagram endpoint, ordered counter-clockwise from the top.",366.324803,1133.779367,,,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,28,star_endpoint_04_bottom_right,star_endpoint,"Apparent bottom-right heptagram endpoint, ordered counter-clockwise from the top.",1140.200658,1130.160340,,,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,29,star_endpoint_05_lower_right,star_endpoint,"Apparent lower-right side heptagram endpoint, ordered counter-clockwise from the top.",972.869764,1902.705567,,,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,30,star_endpoint_06_upper_right,star_endpoint,"Apparent upper-right heptagram endpoint, ordered counter-clockwise from the top.",273.586103,1565.998840,,,false
